file_name, found_object, number_of_objects, center_position (x;y), orïentation (deg), color
Image_Yellow (143).jpg,bolt,1,"(1217, 1169)",113.18435668945312,metal
Image_Yellow (143).jpg,nut,1,"(595, 999)",82.82333374023438,metal
Image_Yellow (143).jpg,nut,1,"(1433, 1045)",98.87069702148438,metal
Image_Yellow (143).jpg,check valve,1,"(1166, 900)",168.37330627441406,metal
Image_Yellow (143).jpg,bolt,1,"(497, 702)",87.33616638183594,metal
Image_Yellow (143).jpg,nut,1,"(832, 696)",79.02954864501953,metal
Image_Yellow (143).jpg,ring,1,"(1268, 710)",92.03052520751953,metal
Image_Yellow (143).jpg,ring,1,"(1697, 693)",100.07157135009766,metal
Image_Yellow (143).jpg,bolt,1,"(1569, 505)",106.79615020751953,metal
Image_Yellow (143).jpg,bolt,1,"(381, 521)",84.25372314453125,metal
Image_Yellow (143).jpg,ring,1,"(878, 500)",85.66275787353516,black
Image_Yellow (143).jpg,check valve,1,"(1246, 463)",63.238773345947266,black
Image_Yellow (143).jpg,nut,1,"(1417, 254)",92.23136138916016,metal
Image_Yellow (143).jpg,bolt,1,"(578, 245)",18.20865821838379,black
Image_Yellow (143).jpg,ring,1,"(1121, 236)",90.89704132080078,metal
Image_Yellow (143).jpg,check valve,1,"(1263, 76)",48.98600769042969,black
Image_Yellow (4).jpg,bolt,1,"(959, 1842)",87.67359924316406,metal
Image_Yellow (4).jpg,ring,1,"(1792, 1837)",115.706298828125,metal
Image_Yellow (4).jpg,bolt,1,"(741, 1834)",163.636474609375,metal
Image_Yellow (4).jpg,nut,1,"(2372, 1766)",124.10258483886719,metal
Image_Yellow (4).jpg,bolt,1,"(1353, 1992)",23.349931716918945,metal
Image_Yellow (4).jpg,bolt,1,"(1957, 1549)",16.3360652923584,metal
Image_Yellow (4).jpg,bolt,1,"(312, 1508)",115.81359100341797,black
Image_Yellow (4).jpg,check valve,1,"(780, 1428)",98.24044036865234,black
Image_Yellow (4).jpg,ring,1,"(1466, 1410)",107.24571990966797,metal
Image_Yellow (4).jpg,ring,1,"(2498, 1362)",121.13020324707031,metal
Image_Yellow (4).jpg,check valve,1,"(2243, 1260)",24.475811004638672,black
Image_Yellow (4).jpg,bolt,1,"(1718, 1241)",151.261474609375,metal
Image_Yellow (4).jpg,check valve,1,"(1417, 1105)",133.02789306640625,black
Image_Yellow (4).jpg,bolt,1,"(387, 1078)",21.40618324279785,metal
Image_Yellow (4).jpg,ring,1,"(2415, 1068)",115.59545135498047,metal
Image_Yellow (4).jpg,check valve,1,"(1932, 974)",139.58412170410156,black
Image_Yellow (4).jpg,bolt,1,"(2637, 941)",145.61009216308594,metal
Image_Yellow (4).jpg,bolt,1,"(1265, 786)",14.817280769348145,metal
Image_Yellow (4).jpg,bolt,1,"(1752, 675)",72.32428741455078,black
Image_Yellow (4).jpg,bolt,1,"(2532, 560)",75.25393676757812,metal
Image_Yellow (4).jpg,bolt,1,"(859, 940)",152.9127960205078,metal
Image_Yellow (4).jpg,ring,1,"(1043, 547)",97.57379150390625,metal
Image_Yellow (4).jpg,nut,1,"(2089, 350)",108.80358123779297,metal
Image_Yellow (4).jpg,bolt,1,"(1380, 284)",119.13985443115234,metal
Image_Yellow (4).jpg,bolt,1,"(1679, 142)",159.65797424316406,metal
Image_Yellow (61).jpg,bolt,1,"(1067, 2025)",85.61279296875,metal
Image_Yellow (61).jpg,bolt,1,"(811, 2051)",157.545654296875,metal
Image_Yellow (61).jpg,ring,1,"(2013, 1912)",121.41343688964844,metal
Image_Yellow (61).jpg,bolt,1,"(1547, 2153)",14.344794273376465,metal
Image_Yellow (61).jpg,nut,1,"(2653, 1758)",120.278076171875,metal
Image_Yellow (61).jpg,bolt,1,"(264, 1725)",108.56855773925781,black
Image_Yellow (61).jpg,check valve,1,"(805, 1577)",90.43164825439453,black
Image_Yellow (61).jpg,bolt,1,"(2144, 1568)",7.643126010894775,metal
Image_Yellow (61).jpg,ring,1,"(1572, 1476)",106.88652801513672,metal
Image_Yellow (61).jpg,ring,1,"(2691, 1306)",118.486572265625,metal
Image_Yellow (61).jpg,bolt,1,"(1827, 1261)",140.30880737304688,metal
Image_Yellow (61).jpg,bolt,1,"(308, 1238)",17.624588012695312,metal
Image_Yellow (61).jpg,check valve,1,"(2402, 1224)",16.909038543701172,metal
Image_Yellow (61).jpg,check valve,1,"(1474, 1151)",125.09149169921875,metal
Image_Yellow (61).jpg,ring,1,"(2540, 1007)",113.68133544921875,metal
Image_Yellow (61).jpg,check valve,1,"(2014, 954)",129.74758911132812,black
Image_Yellow (61).jpg,bolt,1,"(1256, 831)",8.395525932312012,metal
Image_Yellow (61).jpg,bolt,1,"(2759, 851)",135.65985107421875,metal
Image_Yellow (61).jpg,bolt,1,"(1773, 664)",67.40670013427734,black
Image_Yellow (61).jpg,bolt,1,"(837, 1043)",144.9623260498047,metal
Image_Yellow (61).jpg,ring,1,"(978, 609)",94.1722183227539,metal
Image_Yellow (61).jpg,bolt,1,"(2566, 478)",70.00969696044922,metal
Image_Yellow (61).jpg,ring,1,"(2069, 306)",103.3066635131836,metal
Image_Yellow (61).jpg,bolt,1,"(1308, 304)",110.96988677978516,metal
Image_Yellow (61).jpg,bolt,1,"(1605, 140)",147.42527770996094,metal
Image_Yellow (84).jpg,ring,1,"(1188, 846)",105.20064544677734,metal
Image_Yellow (84).jpg,check valve,1,"(285, 714)",148.77223205566406,black
Image_Yellow (84).jpg,bolt,1,"(902, 348)",8.872217178344727,black
Image_Yellow (84).jpg,bolt,1,"(1312, 322)",49.80074691772461,metal
Yellow_image (1).jpg,check valve,1,"(99, 70)",124.30962371826172,metal
